"s","a","r","sp"
13315,1,-225,12306
12306,1,-225,11296
11296,1,-225,9785
9785,1,-225,8774
8774,1,-225,7762
7762,1,-225,6749
6749,1,-225,6236
6236,1,-225,5722
5722,1,-225,5208
5208,1,-225,4694
4694,1,-225,4680
4680,1,-225,4665
4665,1,-225,4651
4651,1,-225,4637
4637,1,-225,5123
5123,1,-225,5609
5609,1,-225,6096
6096,1,-225,6583
6583,1,-225,7070
7070,1,-225,7558
7558,1,-225,8547
8547,1,-225,9036
9036,1,-225,9525
9525,1,-225,10014
10014,1,-225,10504
10504,1,-225,25001
25001,1,-225,25001
25001,7,-225,26002
26002,7,-225,27003
27003,7,-225,28006
28006,7,-225,29009
29009,7,-225,30013
30013,7,-225,31017
31017,7,-225,32523
32523,7,-225,33529
33529,7,-225,34536
34536,7,-225,36044
36044,7,-225,37052
37052,7,-225,38062
38062,7,-225,39572
39572,7,-225,40583
40583,7,-225,42095
42095,7,-225,43108
43108,7,-225,44622
44622,7,-225,45637
45637,7,-225,46652
46652,7,-225,47168
47168,7,-225,48184
48184,7,-225,48701
48701,7,-225,48718
48718,7,-225,49235
49235,7,-225,49252
49252,7,-225,48769
48769,7,-225,48785
48785,7,-225,48302
48302,7,-225,47818
47818,7,-225,47333
47333,7,-225,46849
46849,7,-225,45863
45863,7,-225,45378
45378,7,-225,44891
44891,7,-225,44405
44405,7,-225,43918
43918,7,-225,43931
43931,7,-225,43444
43444,7,-225,43457
43457,7,99775,43470
25343,3,-25,25187
25187,5,-25,25187
25187,5,-25,25688
25688,5,-25,26188
26188,5,-25,26189
26189,5,-25,26690
26690,5,-25,27192
27192,5,-25,27194
27194,5,-25,27695
27695,5,-25,27697
27697,5,-25,28200
28200,5,-25,28202
28202,5,-25,28204
28204,5,-25,28707
28707,5,-25,28709
28709,5,-25,28712
28712,5,-25,28715
28715,5,-25,28718
28718,5,-25,29221
29221,5,-25,29223
29223,5,-25,28726
28726,5,-25,28729
28729,5,-25,28732
28732,5,-25,28734
28734,5,-25,28737
28737,5,-25,28239
28239,5,-25,28241
28241,5,-25,27743
27743,5,-25,27745
27745,5,-25,27247
27247,5,-25,27248
27248,5,-25,26750
26750,5,-25,26751
26751,5,-25,26252
26252,5,-25,25752
25752,5,-25,25753
25753,5,-25,25253
25253,5,-25,24753
24753,3,-25,24252
24252,3,-25,23751
23751,3,-25,23250
23250,3,-25,22248
22248,3,-25,21746
21746,3,-25,21243
21243,3,-25,20740
20740,3,-25,20237
20237,3,-25,19733
19733,3,-25,19229
19229,3,-25,18725
18725,3,-25,18220
18220,3,-25,18215
18215,3,-25,17710
17710,3,-25,17705
17705,3,-25,17700
17700,3,-25,17194
17194,3,-25,17189
17189,3,-25,17183
17183,3,-25,17178
17178,3,-25,17673
17673,3,-25,17668
17668,3,-25,17663
17663,3,-25,18158
18158,3,-25,18654
18654,3,-25,18649
18649,3,-25,19145
19145,3,-25,19642
19642,3,-25,20138
20138,3,-25,20635
20635,3,-25,21132
21132,3,-25,21630
21630,3,-25,22128
22128,3,-25,22627
22627,3,-25,23126
23126,3,-25,23625
23625,3,-25,24625
24625,3,-25,25125
25125,5,-25,26125
26125,5,-25,26627
26627,5,-25,27629
27629,5,-25,28631
28631,5,-25,29635
29635,5,-25,30138
30138,5,-25,31143
31143,5,-25,31648
31648,5,-25,32653
32653,5,-25,33159
33159,5,-25,33665
33665,5,-25,34172
34172,5,-25,34679
34679,5,-25,35186
35186,5,-25,35694
35694,5,-25,36202
36202,5,-25,36210
36210,5,-25,36218
36218,5,-25,36226
36226,5,-25,36234
36234,5,-25,36241
36241,5,-25,35749
35749,5,-25,35757
35757,5,-25,35264
35264,5,-25,34771
34771,5,-25,34277
34277,5,-25,33784
33784,5,-25,33289
33289,5,-25,32795
32795,5,-25,31800
31800,5,-25,31304
31304,5,-25,30808
30808,5,-25,29812
29812,5,-25,29315
29315,5,-25,28317
28317,5,-25,27819
27819,5,-25,26820
26820,5,-25,26321
26321,5,-25,25322
25322,5,-25,24821
24821,3,-25,23820
23820,3,-25,22819
22819,3,-25,21816
21816,3,-25,20813
20813,3,-25,19309
19309,3,-25,18305
18305,3,-25,17299
17299,3,-25,16293
16293,3,-25,15787
15787,3,-25,14779
14779,3,-25,13771
13771,3,-25,12763
12763,3,-25,12254
12254,3,-25,11745
11745,3,-25,11235
11235,3,-25,10725
10725,3,-25,10214
10214,3,-25,9704
9704,3,-25,9693
9693,3,-25,9682
9682,3,-25,9671
9671,3,-25,10161
10161,3,-25,10151
10151,3,-25,10641
10641,3,-25,11131
11131,3,-25,11621
11621,3,-25,12113
12113,3,-25,13104
13104,3,-25,13596
13596,3,-25,14089
14089,3,-25,15082
15082,3,-25,15575
15575,3,-25,16570
16570,3,-25,17564
17564,3,-25,18060
18060,3,-25,19055
19055,3,-25,19552
19552,3,-25,20549
20549,3,-25,21046
21046,3,-25,22044
22044,3,-25,22542
22542,3,-25,23541
23541,3,-25,24041
24041,3,-25,25041
25041,5,-25,26042
26042,5,-25,27043
27043,5,-25,28046
28046,5,-25,29049
29049,5,-25,30052
30052,5,-25,31057
31057,5,-25,32062
32062,5,-25,33568
33568,5,-25,34575
34575,5,-25,35583
35583,5,-25,36591
36591,5,-25,37600
37600,5,-25,38610
38610,5,-25,39620
39620,5,-25,40631
40631,5,-25,41643
41643,5,-25,42155
42155,5,-25,43168
43168,5,-25,43681
43681,5,-25,43695
43695,5,-25,44208
44208,5,-25,44222
44222,5,-25,44236
44236,5,-25,44249
44249,5,-25,43762
43762,5,-25,43275
43275,5,-25,42788
42788,5,-25,42300
42300,5,-25,41812
41812,5,-25,40823
40823,5,-25,40334
40334,5,-25,39344
39344,5,-25,38854
38854,5,-25,37863
37863,5,-25,37372
37372,5,-25,36380
36380,5,-25,35887
35887,5,-25,35394
35394,5,-25,34401
34401,5,-25,33907
33907,5,-25,33413
33413,5,-25,32918
32918,5,-25,32424
32424,5,-25,31929
31929,5,-25,31933
31933,5,-25,31438
31438,5,-25,30942
30942,5,-25,30946
30946,5,-25,30950
30950,5,-25,30454
30454,5,-25,30457
30457,5,-25,30461
30461,5,99975,30464
25343,4,0,24731
24731,3,-25,24230
24230,2,-100,23729
23729,5,-25,23728
23728,2,-100,23227
23227,3,-25,22725
22725,5,-25,22724
22724,3,-25,22222
22222,2,-100,21719
21719,2,-100,21217
21217,4,0,21214
21214,3,-25,20711
20711,3,-25,20708
20708,3,-25,20705
20705,3,-25,20202
20202,4,0,20199
20199,3,-25,20195
20195,5,-25,20692
20692,2,-100,20189
20189,4,0,20686
20686,3,-25,20683
20683,5,-25,20680
20680,4,0,21177
21177,4,0,21675
21675,2,-100,21672
21672,3,-25,21670
21670,2,-100,21668
21668,3,-25,22166
22166,2,-100,22164
22164,3,-25,22162
22162,5,-25,22660
22660,2,-100,23159
23159,5,-25,23658
23658,2,-100,23657
23657,5,-25,24657
24657,3,-25,24657
24657,3,-25,25157
25157,5,-25,25658
25658,6,-100,26659
26659,5,-25,27160
27160,5,-25,27662
27662,3,-25,28165
28165,6,-100,28667
28667,3,-25,29170
29170,5,-25,29673
29673,4,0,29677
29677,5,-25,30181
30181,4,0,30685
30685,3,-25,30689
30689,5,-25,31193
31193,6,-100,31197
31197,4,0,31702
31702,3,-25,31207
31207,6,-100,31711
31711,4,0,31716
31716,5,-25,31721
31721,5,-25,31725
31725,4,0,31230
31230,3,-25,31234
31234,6,-100,31238
31238,5,-25,30742
30742,4,0,30246
30246,4,0,30250
30250,3,-25,29253
29253,4,0,28756
28756,6,-100,28758
28758,6,-100,28261
28261,6,-100,28263
28263,6,-100,27765
27765,6,-100,27767
27767,4,0,27269
27269,3,-25,26269
26269,5,-25,25770
25770,6,-100,25770
25770,3,-25,24770
24770,3,-25,23770
23770,4,0,23268
23268,5,-25,22767
22767,5,-25,22265
22265,5,-25,21763
21763,4,0,21260
21260,2,-100,20757
20757,2,-100,19753
19753,2,-100,18749
18749,2,-100,18244
18244,4,0,17739
17739,2,-100,17234
17234,4,0,16728
16728,4,0,16722
16722,4,0,16216
16216,3,-25,16209
16209,3,-25,15703
15703,3,-25,15696
15696,5,-25,15690
15690,3,-25,15684
15684,4,0,16177
16177,3,-25,16171
16171,5,-25,16666
16666,4,0,17160
17160,2,-100,17155
17155,5,-25,18150
18150,3,-25,18145
18145,4,0,19141
19141,2,-100,19137
19137,2,-100,19633
19633,3,-25,20130
20130,5,-25,21127
21127,3,-25,21625
21625,3,-25,22123
22123,3,-25,22621
22621,3,-25,23120
23120,4,0,24120
24120,5,-25,25120
25120,4,0,25620
25620,5,-25,26621
26621,6,-100,27624
27624,6,-100,28626
28626,3,-25,29129
29129,6,-100,30633
30633,6,-100,31138
31138,5,-25,32143
32143,3,-25,32649
32649,3,-25,33154
33154,5,-25,33660
33660,5,-25,34167
34167,6,-100,35174
35174,5,-25,35682
35682,4,0,35689
35689,6,-100,36197
36197,3,-25,36205
36205,3,-25,36213
36213,3,-25,35721
35721,5,-25,35728
35728,3,-25,35236
35236,5,-25,35243
35243,6,-100,35250
35250,3,-25,34757
34757,3,-25,33763
33763,4,0,33269
33269,3,-25,32774
32774,3,-25,31779
31779,6,-100,31283
31283,6,-100,30788
30788,3,-25,29791
29791,4,0,29294
29294,5,-25,28797
28797,6,-100,28299
28299,5,-25,27300
27300,4,0,26802
26802,5,-25,25802
25802,5,-25,25302
25302,6,-100,24802
24802,4,0,23801
23801,4,0,23300
23300,3,-25,22298
22298,2,-100,20795
20795,2,-100,19791
19791,2,-100,18787
18787,5,-25,18282
18282,2,-100,17277
17277,2,-100,16270
16270,3,-25,15263
15263,4,0,14756
14756,2,-100,13748
13748,5,-25,13740
13740,3,-25,13232
13232,3,-25,12723
12723,2,-100,12214
12214,5,-25,12205
12205,3,-25,12196
12196,5,-25,12187
12187,3,-25,12178
12178,4,0,12669
12669,4,0,12661
12661,2,-100,13153
13153,3,-25,13145
13145,3,-25,13637
13637,3,-25,14129
14129,4,0,15122
15122,2,-100,15616
15616,3,-25,16109
16109,5,-25,17104
17104,2,-100,17599
17599,2,-100,18094
18094,3,-25,19090
19090,4,0,19586
19586,5,-25,21084
21084,5,-25,22081
22081,2,-100,22580
22580,4,0,23579
23579,2,-100,24078
24078,3,-25,24578
24578,3,-25,25579
25579,5,-25,26580
26580,5,-25,27582
27582,3,-25,28585
28585,6,-100,29588
29588,3,-25,30592
30592,4,0,31597
31597,5,-25,32602
32602,6,-100,33608
33608,6,-100,34615
34615,6,-100,35623
35623,3,-25,36631
36631,4,0,37140
37140,6,-100,38149
38149,4,0,38659
38659,6,-100,39669
39669,3,-25,39680
39680,3,-25,39690
39690,6,-100,40201
40201,3,-25,40212
40212,5,-25,40223
40223,5,-25,40233
40233,4,0,39744
39744,6,-100,39754
39754,5,-25,39765
39765,6,-100,39275
39275,6,-100,38784
38784,5,-25,38294
38294,4,0,37803
37803,4,0,36811
36811,6,-100,36319
36319,3,-25,35326
35326,6,-100,34333
34333,4,0,33839
33839,5,-25,32844
32844,4,0,31849
31849,5,-25,31353
31353,6,-100,30357
30357,6,-100,29860
29860,3,-25,28863
28863,3,-25,27865
27865,4,0,26866
26866,6,-100,26367
26367,3,-25,25367
25367,6,-100,24867
24867,2,-100,23366
23366,2,-100,22364
22364,4,0,21361
21361,3,-25,20358
20358,4,0,19354
19354,4,0,18349
18349,3,-25,17344
17344,4,0,16337
16337,4,0,15331
15331,3,-25,14323
14323,4,0,13315
13315,3,-25,12306
12306,2,-100,11296
11296,3,-25,10286
10286,4,0,9275
9275,5,-25,8764
8764,4,0,8252
8252,2,-100,7740
7740,3,-25,7227
7227,4,0,6714
6714,2,-100,6201
6201,4,0,6188
6188,3,-25,6675
6675,3,-25,6662
6662,5,-25,7150
7150,4,0,7637
7637,3,-25,8126
8126,3,-25,8614
8614,5,-25,9604
9604,4,0,10594
10594,3,-25,11084
11084,4,0,12075
12075,2,-100,12567
12567,5,-25,14059
14059,3,-25,14552
14552,5,-25,15545
15545,2,-100,16039
16039,4,0,17034
17034,2,-100,17529
17529,3,-25,18524
18524,5,-25,19521
19521,2,-100,20017
20017,4,0,20514
20514,2,-100,21012
21012,2,-100,21509
21509,3,-25,22008
22008,4,0,23006
23006,2,-100,23505
23505,2,-100,23504
23504,4,0,24504
24504,3,-25,25004
25004,6,-100,26005
26005,6,-100,27007
27007,4,0,27509
27509,4,0,28511
28511,3,-25,29014
29014,5,-25,30018
30018,5,-25,31022
31022,5,-25,32027
32027,4,0,32533
32533,3,-25,33539
33539,4,0,34545
34545,3,-25,35053
35053,4,0,36061
36061,6,-100,37069
37069,5,-25,38079
38079,5,-25,39589
39589,6,-100,40600
40600,5,-25,41612
41612,4,0,42625
42625,6,-100,43638
43638,6,-100,44652
44652,4,0,45166
45166,3,-25,45180
45180,4,0,45695
45695,5,-25,45709
45709,3,-25,45724
45724,5,-25,45739
45739,4,0,45253
45253,6,-100,45267
45267,5,-25,44781
44781,4,0,43795
43795,3,-25,43307
43307,5,-25,42319
42319,5,-25,41831
41831,5,-25,40842
40842,3,-25,39853
39853,5,-25,38863
38863,6,-100,38372
38372,5,-25,37881
37881,3,-25,36889
36889,4,0,35897
35897,4,0,35404
35404,5,-25,34410
34410,3,-25,33917
33917,5,-25,33422
33422,3,-25,32428
32428,4,0,31933
31933,3,-25,31437
31437,5,-25,31441
31441,6,-100,30945
30945,4,0,30949
30949,5,-25,30453
30453,6,-100,30457
30457,3,-25,30461
30461,6,99900,30464
25343,1,-225,24710
24710,1,-225,24209
24209,1,-225,23709
23709,1,-225,23708
23708,1,-225,23206
23206,1,-225,22705
22705,1,-225,22703
22703,1,-225,22201
22201,1,-225,22199
22199,1,-225,21697
21697,1,-225,21694
21694,1,-225,21192
21192,1,-225,21189
21189,1,-225,21186
21186,1,-225,20683
20683,1,-225,20681
20681,1,-225,20678
20678,1,-225,20675
20675,1,-225,20672
20672,1,-225,20669
20669,1,-225,20666
20666,1,-225,20663
20663,1,-225,21160
21160,1,-225,21157
21157,1,-225,21155
21155,1,-225,21652
21652,1,-225,21650
21650,1,-225,22148
22148,1,-225,22146
22146,1,-225,22644
22644,1,-225,22643
22643,1,-225,23142
23142,1,-225,23140
23140,1,-225,23640
23640,1,-225,24139
24139,1,-225,24138
24138,1,-225,24638
24638,1,-225,25138
25138,7,-225,26139
26139,7,-225,26640
26640,7,-225,27642
27642,7,-225,28645
28645,7,-225,29648
29648,7,-225,30652
30652,7,-225,31157
31157,7,-225,32162
32162,7,-225,32668
32668,7,-225,33674
33674,7,-225,34180
34180,7,-225,34687
34687,7,-225,35194
35194,7,-225,35702
35702,7,-225,36210
36210,7,-225,36218
36218,7,-225,36726
36726,7,-225,36734
36734,7,-225,36742
36742,7,-225,36751
36751,7,-225,36259
36259,7,-225,36266
36266,7,-225,35774
35774,7,-225,35782
35782,7,-225,35289
35289,7,-225,34795
34795,7,-225,34302
34302,7,-225,33808
33808,7,-225,33314
33314,7,-225,32819
32819,7,-225,31824
31824,7,-225,31328
31328,7,-225,30832
30832,7,-225,30336
30336,7,-225,29339
29339,7,-225,28842
28842,7,-225,28344
28344,7,-225,27846
27846,7,-225,26847
26847,7,-225,26348
26348,7,-225,25849
25849,7,-225,25349
25349,7,-225,24349
24349,1,-225,23347
23347,1,-225,22345
22345,1,-225,20842
20842,1,-225,19838
19838,1,-225,18334
18334,1,-225,17328
17328,1,-225,15822
15822,1,-225,14814
14814,1,-225,13306
13306,1,-225,12297
12297,1,-225,11287
11287,1,-225,10277
10277,1,-225,9265
9265,1,-225,8254
8254,1,-225,7241
7241,1,-225,6728
6728,1,-225,6215
6215,1,-225,5701
5701,1,-225,5188
5188,1,-225,5174
5174,1,-225,5160
5160,1,-225,5146
5146,1,-225,5632
5632,1,-225,6119
6119,1,-225,6606
6606,1,-225,7094
7094,1,-225,7581
7581,1,-225,8070
8070,1,-225,8558
8558,1,-225,9547
9547,1,-225,10037
10037,1,-225,10527
10527,1,-225,11017
11017,1,-225,11508
11508,1,-225,25001
25001,1,-225,25001
25001,7,-225,26002
26002,7,-225,27003
27003,7,-225,28006
28006,7,-225,29009
29009,7,-225,30013
30013,7,-225,31017
31017,7,-225,32523
32523,7,-225,33529
33529,7,-225,34536
34536,7,-225,36044
36044,7,-225,37052
37052,7,-225,38062
38062,7,-225,39572
39572,7,-225,40583
40583,7,-225,42095
42095,7,-225,43108
43108,7,-225,44622
44622,7,-225,45637
45637,7,-225,46652
46652,7,-225,47168
47168,7,-225,48184
48184,7,-225,48701
48701,7,-225,48718
48718,7,-225,49235
49235,7,-225,49252
49252,7,-225,48769
48769,7,-225,48785
48785,7,-225,48302
48302,7,-225,47818
47818,7,-225,47333
47333,7,-225,46849
46849,7,-225,45863
45863,7,-225,45378
45378,7,-225,44891
44891,7,-225,44405
44405,7,-225,43918
43918,7,-225,43931
43931,7,-225,43444
43444,7,-225,43457
43457,7,99775,43470
25343,3,-25,24706
24706,3,-25,24706
24706,3,-25,24705
24705,3,-25,24205
24205,3,-25,24204
24204,3,-25,24204
24204,3,-25,23703
23703,3,-25,23702
23702,3,-25,23701
23701,3,-25,23700
23700,3,-25,23199
23199,3,-25,23198
23198,3,-25,23196
23196,3,-25,23195
23195,3,-25,23194
23194,3,-25,23192
23192,3,-25,23191
23191,3,-25,23190
23190,3,-25,23188
23188,3,-25,23187
23187,3,-25,23186
23186,3,-25,23184
23184,3,-25,23183
23183,3,-25,23182
23182,3,-25,23181
23181,3,-25,23180
23180,3,-25,23679
23679,3,-25,23678
23678,3,-25,23677
23677,3,-25,23676
23676,3,-25,24176
24176,3,-25,24175
24175,3,-25,24175
24175,3,-25,24675
24675,3,-25,24674
24674,3,-25,24674
24674,3,-25,25174
25174,5,-25,25675
25675,5,-25,26175
26175,5,-25,26176
26176,5,-25,26678
26678,5,-25,27179
27179,5,-25,27681
27681,5,-25,28184
28184,5,-25,28686
28686,5,-25,28689
28689,5,-25,29192
29192,5,-25,29695
29695,5,-25,29698
29698,5,-25,30202
30202,5,-25,30206
30206,5,-25,30209
30209,5,-25,30213
30213,5,-25,30717
30717,5,-25,30721
30721,5,-25,30725
30725,5,-25,30229
30229,5,-25,30233
30233,5,-25,30236
30236,5,-25,30240
30240,5,-25,29743
29743,5,-25,29746
29746,5,-25,29250
29250,5,-25,29252
29252,5,-25,28755
28755,5,-25,28257
28257,5,-25,27759
27759,5,-25,27761
27761,5,-25,27263
27263,5,-25,26764
26764,5,-25,26265
26265,5,-25,25766
25766,5,-25,25266
25266,5,-25,25266
25266,5,-25,24766
24766,3,-25,23765
23765,3,-25,23264
23264,3,-25,22262
22262,3,-25,21759
21759,3,-25,20756
20756,3,-25,20253
20253,3,-25,19749
19749,3,-25,19245
19245,3,-25,18240
18240,3,-25,17735
17735,3,-25,17230
17230,3,-25,17224
17224,3,-25,16719
16719,3,-25,16212
16212,3,-25,16206
16206,3,-25,15700
15700,3,-25,15693
15693,3,-25,15687
15687,3,-25,15680
15680,3,-25,15674
15674,3,-25,16168
16168,3,-25,16162
16162,3,-25,16656
16656,3,-25,16650
16650,3,-25,17145
17145,3,-25,17640
17640,3,-25,18135
18135,3,-25,18631
18631,3,-25,19127
19127,3,-25,19623
19623,3,-25,20120
20120,3,-25,21117
21117,3,-25,21615
21615,3,-25,22113
22113,3,-25,23112
23112,3,-25,23611
23611,3,-25,24110
24110,3,-25,25110
25110,5,-25,26111
26111,5,-25,26612
26612,5,-25,27614
27614,5,-25,28617
28617,5,-25,29621
29621,5,-25,30625
30625,5,-25,31629
31629,5,-25,32635
32635,5,-25,33140
33140,5,-25,34147
34147,5,-25,34654
34654,5,-25,35661
35661,5,-25,36169
36169,5,-25,36677
36677,5,-25,37186
37186,5,-25,37195
37195,5,-25,37704
37704,5,-25,37713
37713,5,-25,37722
37722,5,-25,37731
37731,5,-25,37740
37740,5,-25,37749
37749,5,-25,37257
37257,5,-25,36766
36766,5,-25,36274
36274,5,-25,35782
35782,5,-25,35289
35289,5,-25,34796
34796,5,-25,34302
34302,5,-25,33308
33308,5,-25,32814
32814,5,-25,32319
32319,5,-25,31323
31323,5,-25,30827
30827,5,-25,29831
29831,5,-25,29333
29333,5,-25,28336
28336,5,-25,27337
27337,5,-25,26839
26839,5,-25,25839
25839,5,-25,25339
25339,5,-25,24339
24339,3,-25,23338
23338,3,-25,22336
22336,3,-25,21333
21333,3,-25,20329
20329,3,-25,18825
18825,3,-25,17820
17820,3,-25,16814
16814,3,-25,15808
15808,3,-25,14800
14800,3,-25,13793
13793,3,-25,12784
12784,3,-25,11775
11775,3,-25,11265
11265,3,-25,10255
10255,3,-25,9744
9744,3,-25,9233
9233,3,-25,8721
8721,3,-25,8210
8210,3,-25,8198
8198,3,-25,8186
8186,3,-25,8174
8174,3,-25,8162
8162,3,-25,8651
8651,3,-25,8639
8639,3,-25,9128
9128,3,-25,10118
10118,3,-25,10608
10608,3,-25,11098
11098,3,-25,12089
12089,3,-25,12580
12580,3,-25,13572
13572,3,-25,14065
14065,3,-25,15058
15058,3,-25,15551
15551,3,-25,16545
16545,3,-25,17040
17040,3,-25,18035
18035,3,-25,18531
18531,3,-25,19527
19527,3,-25,20024
20024,3,-25,20521
20521,3,-25,21518
21518,3,-25,22016
22016,3,-25,22515
22515,3,-25,23014
23014,3,-25,24013
24013,3,-25,24513
24513,3,-25,25013
25013,5,-25,26014
26014,5,-25,27015
27015,5,-25,28017
28017,5,-25,28520
28520,5,-25,29524
29524,5,-25,30528
30528,5,-25,31533
31533,5,-25,32538
32538,5,-25,33545
33545,5,-25,35052
35052,5,-25,36060
36060,5,-25,37068
37068,5,-25,38077
38077,5,-25,39088
39088,5,-25,40098
40098,5,-25,41110
41110,5,-25,42122
42122,5,-25,43135
43135,5,-25,44149
44149,5,-25,44663
44663,5,-25,45177
45177,5,-25,45692
45692,5,-25,46207
46207,5,-25,46222
46222,5,-25,46237
46237,5,-25,46252
46252,5,-25,45766
45766,5,-25,45281
45281,5,-25,44795
44795,5,-25,44308
44308,5,-25,43321
43321,5,-25,42834
42834,5,-25,41846
41846,5,-25,41357
41357,5,-25,40368
40368,5,-25,39878
39878,5,-25,38888
38888,5,-25,38397
38397,5,-25,37906
37906,5,-25,37415
37415,5,-25,36923
36923,5,-25,36431
36431,5,-25,35939
35939,5,-25,35946
35946,5,-25,35453
35453,5,-25,35461
35461,5,99975,35468
25343,7,-225,25231
25231,4,0,24731
24731,5,-25,24730
24730,7,-225,24730
24730,7,-225,24730
24730,2,-100,24229
24229,2,-100,23728
23728,2,-100,23227
23227,7,-225,23226
23226,1,-225,22724
22724,7,-225,22722
22722,5,-25,22721
22721,5,-25,22719
22719,7,-225,22718
22718,4,0,22716
22716,5,-25,22714
22714,2,-100,22212
22212,6,-100,22711
22711,2,-100,22209
22209,7,-225,22207
22207,2,-100,22205
22205,1,-225,21702
21702,6,-100,22200
22200,5,-25,22199
22199,6,-100,22697
22697,1,-225,22195
22195,6,-100,22694
22694,5,-25,23192
23192,5,-25,23191
23191,3,-25,23190
23190,1,-225,23189
23189,7,-225,23688
23688,3,-25,23687
23687,4,0,23686
23686,3,-25,24186
24186,6,-100,24685
24685,6,-100,25185
25185,4,0,25186
25186,7,-225,25686
25686,5,-25,26187
26187,1,-225,25688
25688,1,-225,25688
25688,1,-225,25689
25689,7,-225,26190
26190,3,-25,26190
26190,4,0,26191
26191,6,-100,26693
26693,4,0,26694
26694,2,-100,26695
26695,1,-225,26696
26696,5,-25,26698
26698,1,-225,26699
26699,4,0,26700
26700,7,-225,26701
26701,6,-100,27203
27203,2,-100,27204
27204,4,0,27206
27206,3,-25,26707
26707,2,-100,26708
26708,1,-225,26209
26209,6,-100,26210
26210,4,0,26211
26211,7,-225,26712
26712,5,-25,26713
26713,3,-25,26214
26214,3,-25,26215
26215,1,-225,25716
25716,4,0,25716
25716,2,-100,25217
25217,7,-225,25217
25217,7,-225,25717
25717,4,0,25218
25218,5,-25,25718
25718,4,0,25218
25218,3,-25,25218
25218,6,-100,25219
25219,6,-100,25219
25219,6,-100,25719
25719,4,0,25220
25220,7,-225,25720
25720,4,0,25220
25220,3,-25,25220
25220,5,-25,25220
25220,6,-100,25220
25220,2,-100,24720
24720,7,-225,24720
24720,4,0,24720
24720,6,-100,24720
24720,3,-25,24720
24720,1,-225,24219
24219,3,-25,23718
23718,4,0,23717
23717,5,-25,23716
23716,7,-225,23716
23716,2,-100,23214
23214,6,-100,23713
23713,3,-25,23212
23212,2,-100,23211
23211,3,-25,22709
22709,7,-225,23208
23208,7,-225,23207
23207,6,-100,23706
23706,7,-225,23705
23705,1,-225,23704
23704,7,-225,23703
23703,6,-100,24203
24203,1,-225,23702
23702,3,-25,23701
23701,1,-225,23700
23700,3,-25,23199
23199,1,-225,23198
23198,6,-100,23697
23697,3,-25,23696
23696,3,-25,23195
23195,4,0,23694
23694,7,-225,23693
23693,1,-225,23692
23692,6,-100,24192
24192,4,0,24191
24191,4,0,24691
24691,3,-25,24691
24691,2,-100,24190
24190,6,-100,24690
24690,3,-25,24690
24690,5,-25,25190
25190,1,-225,24690
24690,6,-100,25190
25190,5,-25,25691
25691,2,-100,25691
25691,2,-100,25192
25192,6,-100,25692
25692,6,-100,26193
26193,2,-100,26194
26194,7,-225,26695
26695,2,-100,26196
26196,3,-25,26197
26197,4,0,26198
26198,6,-100,26699
26699,6,-100,27201
27201,1,-225,26702
26702,4,0,26703
26703,3,-25,26705
26705,5,-25,26706
26706,4,0,26707
26707,4,0,26709
26709,4,0,26710
26710,3,-25,26711
26711,2,-100,26212
26212,5,-25,26213
26213,7,-225,26714
26714,1,-225,26215
26215,4,0,26216
26216,5,-25,26216
26216,1,-225,25717
25717,7,-225,25717
25717,5,-25,25718
25718,5,-25,25719
25719,1,-225,25219
25219,3,-25,25219
25219,1,-225,24719
